packet_idx,write_cycle,commit_cycle,latency_cycles
0,4,328,324
1,20,396,376
2,36,425,389
3,52,448,396
4,68,477,409
5,84,506,422
6,100,535,435
7,116,564,448
8,132,593,461
9,148,622,474
10,164,651,487
11,180,680,500
12,196,709,513
13,212,738,526
14,228,767,539
15,244,796,552
16,260,825,565
17,276,854,578
18,292,883,591
19,308,912,604
20,324,941,617
21,340,970,630
22,356,999,643
23,372,1028,656
24,388,1057,669
25,404,1086,682
26,420,1115,695
27,436,1144,708
28,452,1173,721
29,468,1202,734
30,484,1231,747
31,500,1260,760
32,516,1289,773
33,532,1318,786
34,548,1347,799
35,564,1376,812
36,580,1405,825
37,596,1434,838
38,612,1472,860
39,628,1501,873
40,644,1530,886
41,660,1568,908
42,676,1597,921
43,692,1626,934
44,708,1664,956
45,724,1693,969
46,740,1722,982
47,756,1760,1004
48,772,1789,1017
49,788,1818,1030
50,804,1856,1052
51,820,1885,1065
52,836,1914,1078
53,852,1952,1100
54,868,1981,1113
55,884,2010,1126
56,900,2048,1148
57,916,2077,1161
58,932,2106,1174
59,948,2144,1196
60,964,2173,1209
61,980,2202,1222
62,996,2240,1244
63,1012,2269,1257
64,1028,2298,1270
65,1044,2336,1292
66,1060,2365,1305
67,1076,2394,1318
68,1092,2432,1340
69,1108,2461,1353
70,1124,2490,1366
71,1140,2528,1388
72,1156,2557,1401
73,1172,2586,1414
74,1188,2624,1436
75,1204,2653,1449
76,1220,2682,1462
77,1236,2720,1484
78,1252,2749,1497
79,1268,2778,1510
80,1284,2816,1532
81,1300,2845,1545
82,1316,2874,1558
83,1332,2912,1580
84,1348,2941,1593
85,1364,2970,1606
86,1380,3008,1628
87,1396,3037,1641
88,1412,3066,1654
89,1428,3104,1676
90,1444,3133,1689
91,1460,3162,1702
92,1476,3200,1724
93,1492,3229,1737
94,1508,3258,1750
95,1524,3296,1772
96,1540,3325,1785
97,1556,3354,1798
98,1572,3392,1820
99,1588,3421,1833
