path,iter,segment_ps,cycles,ipc,commits
itch_swparse_loop,1,418100,226,0.176991,89
itch_mmio_loop,1,123950,67,0.223881,64
itch_custom_loop,1,66600,36,0.361111,62
itch_swparse_loop,10,2871200,1552,0.242268,425
itch_mmio_loop,10,1045250,565,0.203540,164
itch_custom_loop,10,945350,511,0.221135,162
itch_swparse_loop,100,10539450,5697,0.633667,3659
itch_mmio_loop,100,5518550,2983,0.338585,1059
itch_custom_loop,100,4865500,2630,0.383270,1057
itch_swparse_loop,1000,102114450,55197,0.652391,36059
itch_mmio_loop,1000,53803550,29083,0.344187,10059
itch_custom_loop,1000,48155500,26030,0.384479,10057
